Country,Year,population,Country_ID,latitude,longitude,GDP,TotalGDP
Gabon,2019,2267706,GA,-0.80369,11.60944,16875000000.0,263455000000.0
Georgia,2019,3720161,GE,42.31541,43.35689,17645000000.0,399577000000.0
Germany,2019,83092962,DE,51.16569,10.45153,3957645000000.0,60635461000000.0
Ghana,2019,31258945,GH,7.94653,-1.02319,68353000000.0,1130811000000.0
Greece,2019,10721582,GR,39.07421,21.82431,207329000000.0,3312713000000.0
Guatemala,2019,17103803,GT,15.78347,-90.23076,77156000000.0,1516710000000.0
Guinea,2019,13034346,GN,9.94559,-9.69665,13443000000.0,396065000000.0
Guyana,2019,807665,GY,4.86042,-58.93018,5174000000.0,282379000000.0
Haiti,2019,11105163,HT,18.97119,-72.28522,14787000000.0,362350000000.0
Hungary,2019,9694824,HU,47.16249,19.5033,164927000000.0,2941004000000.0
Iceland,2019,360563,IS,64.96305,-19.02084,24681000000.0,453247000000.0
India,2019,1389030312,IN,20.59368,78.96288,2835606000000.0,54634783000000.0
Indonesia,2019,272489381,ID,-0.78928,113.92133,1119100000000.0,18868855000000.0
Ireland,2019,4976456,IE,53.41291,-8.24389,407170000000.0,7430812000000.0
Israel,2019,9054000,IL,31.04605,34.85161,400648000000.0,7183975000000.0
Italy,2019,59729081,IT,41.87194,12.56738,2019831000000.0,30602465000000.0
Jamaica,2019,2823271,JM,18.10958,-77.29751,15808000000.0,256804000000.0
Japan,2019,126633000,JP,36.20482,138.25292,5117995000000.0,60365542000000.0
Jordan,2019,10671891,JO,30.58516,36.23841,44566000000.0,718597000000.0
Kenya,2019,51202827,KE,-0.02356,37.90619,100328000000.0,1591969000000.0
Kuwait,2019,4442316,KW,29.31166,47.48177,140855000000.0,2045067000000.0
Lebanon,2019,5794594,LB,33.85472,35.86229,50928000000.0,227221000000.0
Liberia,2019,5043721,LR,6.42806,-9.4295,3080000000.0,62652000000.0
Libya,2019,6951033,LY,26.3351,17.22833,69237000000.0,666655000000.0
Luxembourg,2019,620001,LU,49.81527,6.12958,69880000000.0,1206161000000.0
Malawi,2019,19025752,MW,-13.25431,34.30153,11031000000.0,178493000000.0
Malaysia,2019,33440596,MY,4.21048,101.97577,365178000000.0,5785875000000.0
Maldives,2019,487731,MV,3.20278,73.22068,5716000000.0,93180000000.0
Mali,2019,21068405,ML,17.57069,-3.99617,17281000000.0,300793000000.0
Malta,2019,503912,MT,35.9375,14.37542,16340000000.0,315252000000.0
Mauritius,2019,1265985,MU,-20.3484,57.55215,14436000000.0,203318000000.0
Mongolia,2019,3267673,MN,46.8625,103.84666,14206000000.0,304365000000.0
Montenegro,2019,626753,ME,42.70868,19.37439,5543000000.0,102738000000.0
Morocco,2019,36210898,MA,31.7917,-7.09262,128920000000.0,2115935000000.0
Myanmar,2019,52640713,MM,21.91397,95.95622,82568000000.0,926613000000.0
Nepal,2019,28414064,NP,28.39486,84.12401,34186000000.0,610305000000.0
New Zealand,2019,4979200,NZ,-40.90056,174.88597,210995000000.0,3297361000000.0
Niger,2019,22947757,NE,17.60779,8.08167,12917000000.0,270733000000.0
Nigeria,2019,209485641,NG,9.082,8.67528,474517000000.0,4188443000000.0
Norway,2019,5347896,NO,60.47202,8.46895,408743000000.0,6565710000000.0
Oman,2019,4591241,OM,21.51258,55.92326,88061000000.0,1369552000000.0
Pakistan,2019,230800899,PK,30.37532,69.34512,321071000000.0,2411807000000.0
Panama,2019,4234700,PA,8.53798,-80.78213,69722000000.0,1149853000000.0
Paraguay,2019,6515058,PY,-23.4425,-58.44383,37925000000.0,596614000000.0
Peru,2019,32449303,PE,-9.18997,-75.01515,233004000000.0,3743448000000.0
Philippines,2019,110804683,PH,12.87972,121.77402,376823000000.0,6496060000000.0
Portugal,2019,10286263,PT,39.39987,-8.22445,240142000000.0,3952501000000.0
Qatar,2019,2638657,QA,25.35483,51.18388,176371000000.0,2909267000000.0
Romania,2019,19371648,RO,45.94316,24.96676,251652000000.0,4831843000000.0
Saudi Arabia,2019,30063799,SA,23.88594,45.07916,838565000000.0,13866012000000.0
Senegal,2019,16352922,SN,14.4974,-14.45236,23405000000.0,436120000000.0
Seychelles,2019,97625,SC,-4.67957,55.49198,1867000000.0,27628000000.0
Sierra Leone,2019,7731991,SL,8.46056,-11.77989,6519000000.0,104391000000.0
Singapore,2019,5703569,SG,1.35208,103.81984,376162000000.0,6868048000000.0
Somalia,2019,16030971,SO,5.15215,46.19962,8655000000.0,165414000000.0
South Africa,2019,59587885,ZA,-30.55948,22.93751,389245000000.0,5432048000000.0
Spain,2019,47118501,ES,40.46367,-3.74922,1403651000000.0,22380822000000.0
Sri Lanka,2019,21803000,LK,7.87305,80.7718,89015000000.0,613683000000.0
Sudan,2019,45548175,SD,12.86281,30.21764,31484000000.0,496079000000.0
Sweden,2019,10278887,SE,60.12816,18.6435,532169000000.0,8187067000000.0
Switzerland,2019,8575280,CH,46.81819,8.22751,721867000000.0,11981294000000.0
Thailand,2019,71522271,TH,15.87003,100.99254,543977000000.0,7122497000000.0
Togo,2019,8463068,TG,8.61954,0.82478,6993000000.0,129364000000.0
Tunisia,2019,11875081,TN,33.88692,9.5375,41905000000.0,676775000000.0
Uganda,2019,42999637,UG,1.37333,32.29028,37895000000.0,808885000000.0
Ukraine,2019,44957458,UA,48.37943,31.16558,153904000000.0,2633063000000.0
United Arab Emirates,2019,9445785,AE,23.42408,53.84782,417990000000.0,6990436000000.0
United Kingdom,2019,66631000,GB,55.37805,-3.43597,2853074000000.0,47946865000000.0
United States,2019,330226227,US,37.09024,-95.71289,21539975000000.0,372518938000000.0
Uruguay,2019,3397206,UY,-32.52278,-55.76584,62229000000.0,1030856000000.0
Zambia,2019,18513839,ZM,-13.1339,27.84933,23309000000.0,417660000000.0
Zimbabwe,2019,15271368,ZW,-19.01544,29.15486,26033000000.0,478978000000.0
Albania,2020,2837849,AL,41.15333,20.16833,15271000000.0,330104000000.0
Algeria,2020,44042091,DZ,28.03389,1.65963,164774000000.0,3145938000000.0
Angola,2020,33451132,AO,-11.20269,17.87389,66521000000.0,1439229000000.0
Argentina,2020,45191965,AR,-38.4161,-63.61667,385218000000.0,8094978000000.0
Australia,2020,25649248,AU,-25.2744,133.77514,1362613000000.0,22874963000000.0
Austria,2020,8916864,AT,47.51623,14.55007,434050000000.0,6804768000000.0
Bangladesh,2020,166298024,BD,23.68499,90.35633,373902000000.0,6383522000000.0
Belgium,2020,11538604,BE,50.50389,4.46994,529269000000.0,8535322000000.0
Benin,2020,13070169,BJ,9.30769,2.31583,15674000000.0,284260000000.0
Bosnia and Herzegovina,2020,3299349,BA,43.91589,17.67908,20226000000.0,361674000000.0
Botswana,2020,2365894,BW,-22.32847,24.68487,14930000000.0,268304000000.0
Brazil,2020,208660842,BR,-14.235,-51.92528,1476092000000.0,27498145000000.0
Bulgaria,2020,6550696,BG,42.73388,25.48583,70658000000.0,1394653000000.0
Burkina Faso,2020,21478690,BF,12.23833,-1.56159,17837000000.0,331865000000.0
Burundi,2020,12617036,BI,-3.37306,29.91889,3089000000.0,80087000000.0
Cambodia,2020,16725474,KH,12.56568,104.99096,34898000000.0,630254000000.0
Cameroon,2020,26210558,CM,7.36972,12.35472,40863000000.0,716538000000.0
Canada,2020,38028638,CA,56.13037,-106.34677,1655685000000.0,28738085000000.0
Central African Republic,2020,5026628,CF,6.61111,20.93944,2389000000.0,39145000000.0
Chad,2020,17224679,TD,15.45417,18.73221,14954000000.0,245349000000.0
Chile,2020,19370624,CL,-35.67515,-71.54297,254060000000.0,4402607000000.0
Colombia,2020,50629997,CO,4.57087,-74.29733,270348000000.0,5249421000000.0
Costa Rica,2020,5034320,CR,9.74892,-83.75343,62382000000.0,1220181000000.0
Cyprus,2020,1302247,CY,35.12641,33.42986,25535000000.0,469995000000.0
Denmark,2020,5831404,DK,56.26392,9.50179,355631000000.0,5720441000000.0
Djibouti,2020,1105188,DJ,11.82514,42.59028,3144000000.0,57624000000.0
Dominican Republic,2020,11008300,DO,18.73569,-70.16265,78625000000.0,1615196000000.0
Ecuador,2020,17546065,EC,-1.83124,-78.18341,95865000000.0,1608553000000.0
El Salvador,2020,6234673,SV,13.79419,-88.89653,24921000000.0,456899000000.0
Finland,2020,5529543,FI,61.92411,25.74815,269784000000.0,3972166000000.0
France,2020,67601110,FR,46.22764,2.21375,2645806000000.0,41002981000000.0
Gabon,2020,2322539,GA,-0.80369,11.60944,15364000000.0,263455000000.0
Georgia,2020,3722716,GE,42.31541,43.35689,16013000000.0,399577000000.0
Germany,2020,83160871,DE,51.16569,10.45153,3936989000000.0,60635461000000.0
Ghana,2020,31887809,GH,7.94653,-1.02319,70008000000.0,1130811000000.0
Greece,2020,10698599,GR,39.07421,21.82431,191210000000.0,3312713000000.0
Guatemala,2020,17357325,GT,15.78347,-90.23076,77718000000.0,1516710000000.0
Guinea,2020,13371183,GN,9.94559,-9.69665,14089000000.0,396065000000.0
Guyana,2020,807481,GY,4.86042,-58.93018,5471000000.0,282379000000.0
Haiti,2020,11243848,HT,18.97119,-72.28522,14508000000.0,362350000000.0
Hungary,2020,9670419,HU,47.16249,19.5033,158468000000.0,2941004000000.0
Iceland,2020,366463,IS,64.96305,-19.02084,21630000000.0,453247000000.0
India,2020,1402617695,IN,20.59368,78.96288,2674852000000.0,54634783000000.0
Indonesia,2020,274814866,ID,-0.78928,113.92133,1059055000000.0,18868855000000.0
Ireland,2020,5039747,IE,53.41291,-8.24389,436205000000.0,7430812000000.0
Israel,2020,9215100,IL,31.04605,34.85161,410771000000.0,7183975000000.0
